No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Nasal;1704010;Nasal;17.04.07
2;Maje;1704020;Maje;17.04.06
3;Kaur Selatan;1704030;Kaur Selatan;17.04.05
4;Tetap;1704031;Tetap;17.04.12
5;Kaur Tengah;1704040;Kaur Tengah;17.04.04
6;Luas;1704041;Luas;17.04.10
7;Muara Sahung;1704042;Muara Sahung;17.04.11
8;Kinal;1704050;Kinal;17.04.01
9;Semidang Gumay;1704051;Semidang Gumay;17.04.08
10;Tanjung Kemuning;1704060;Tanjung Kemuning;17.04.02
11;Kelam Tengah;1704061;Kelam Tengah;17.04.09
12;Kaur Utara;1704070;Kaur Utara;17.04.03
13;Padang Guci Hilir;1704071;Padang Guci Hilir;17.04.14
14;Lungkang Kule;1704072;Lungkang Kule;17.04.13
15;Padang Guci Hulu;1704073;Padang Guci Hulu;17.04.15
