Number;Nama Media;Jenis Media;Penanggung Jawab;Pemimpin Redaksi;Badan Hukum;Provinsi;Alamat;Telp;Email;Website;Status;Tgl Approve
1;kaltimtoday.co;Siber;Maturidi;Maturidi;Media mandiri perkasa;Kalimantan Timur;Jalan a wahab syahrani gang walet 1 No 2, samarinda utara, samarinda;082216557666;kaltimtoday99@gmail.com;www.kaltimtoday.co;Terverifikasi Administratif;2021-07-05
2;Tekape.co;Siber;Indar Ismail Jamaluddin;Indar Ismail Jamaluddin;Tempat Kreatifitas Anak Muda Pore;Sulawesi Selatan;Perumahan New Graha Jannah Zarindah, Blok B3/3, RT03/RW03, Kelurahan Songka, Kecamatan Wara Selatan, Kota Palopo, Provinsi Sulawesi Selatan;0853 9696 8189;redaksi@tekape.co | redaksitekape@gmail.com;https://tekape.co/;Terverifikasi Administratif;2021-07-05
3;digtara.com;Siber;Irwansyah Putra Nasution;Irwansyah Putra Nasution;MEDIA IBE NUSANTARA;Sumatera Utara;Komplek Taman Setia Budi Indah Blok JJ 10;0821-6648-2003/0852-6109-5279;redaksidigtara@gmail.com;digtara.com;Terverifikasi Administratif dan Faktual;2021-06-30
4;CNBC Indonesia;Televisi;Wahyu Daniel Panjaitan;Wahyu Daniel Panjaitan;Trans Berita Bisnis;DKI Jakarta;Gedung Transmedia Lantai 3A, Jl. Kapten P. Tendean Kav 12-14 A Kelurahan Mampang Prapatan, Kecamatan Mampang Prapatan, Jakarta Selatan, DKI Jakarta;021-79177000;legaltbb@gmail.com;www.cnbcindonesia.com;Terverifikasi Administratif dan Faktual;2021-06-30
5;Swara Kaltim;Cetak;Muhammad Syafranuddin;Mohammad Abdun Kuddu;Media Swara Kaltim;Kalimantan Timur;JL. Gerilya Gg. Keluarga Rt. 102 No. 027 Kelurahan: Sungai Pinang Dalam, Kecamatan : Sungai Pinang, Kota: Samarinda;0541 731240;mediaswarakaltim@yahoo.com;https://swarakaltim.com;Terverifikasi Administratif dan Faktual;2021-06-30
6;viralsumsel.com;Siber;Darwin Syarkowi;Darwin Syarkowi;Musi Media Indonesia;Sumatera Selatan;Griya Nusa Pesona Blok I No 4 Kelurahan Talang Kelapa Kecamatan Alang-Alang Lebar;081373805533;viralsumsel@yahoo.com;http://www.viralsumsel.com/;Terverifikasi Administratif dan Faktual;2021-06-30
7;Wideazone.com;Siber;Oktap Riyadi;Oktap Riyadi;Intermedia Wahana Mandiri;Sumatera Selatan;Jalan Veteran No. 907 RT 14 RW. 04 Kel. 20 Ilir D.I Kec. Ilir Timur 1 Palembang;081212444644;redaksi.wideazone@gmail.com;https://wideazone.com/;Terverifikasi Administratif dan Faktual;2021-06-30
8;Pedoman Media;Cetak;Marselius Gusti Palumpun;Marselius Gusti Palumpun;Media Rakyat Publik;Sulawesi Selatan;Jalan Perratani, Ruko New Zamrud C/18;085299379841;redaksi.pedomanmedia@gmail.com;https://pedoman.media/;Terverifikasi Administratif dan Faktual;2021-06-30
9;mediaadvokasi.com;Siber;Saidiono;Saidiono;Pahri Bersaudara Bersatu;Sumatera Selatan;Jl. Pipa Lebong Siareng No.3832;08117870039;anshor280190@gmail.com;https://www.mediaadvokasi.com/;Terverifikasi Administratif dan Faktual;2021-06-30
10;metrobali.com;Siber;I Wayan Suana;I Wayan Suarna;Metrobali.com;Bali;Jl. Gunung Sari V No. 100X, Denpasar Barat;(0361) 482852;metrobali@ymail.com;metrobali.com;Terverifikasi Administratif dan Faktual;2021-06-30
11;koransn.com;Siber;Agus Harizal;Agus Harizal;Agung Harta Negeriku;Sumatera Selatan;Jalan Cut Nyak Dien No. 2190 B Rt. 39 Kelurahan 30 Ilir Kecamatan Ilir Barat II Palembang;0711-320108;suaranusantara@ymail.com;www.koransn.com;Terverifikasi Administratif dan Faktual;2021-06-30
12;Sumselindependen.com;Siber;Abdul Malik;Abdul Malik;Artha Media Sriwijaya;Sumatera Selatan;Jl Angkatan 66 Lr Harapan XI No 1512 RT 20/06 Kelurahan Talang Aman, kecamatan Kemuning, kota Palembang, Sumatera Selatan;082179555574;maliksyafei@gmail.com;www.sumselindependen.com;Terverifikasi Administratif dan Faktual;2021-06-30
13;Pewarta.co;Siber;Chairum Lubis;Chairum Lubis;Zaki Angkasa Hamdani;Sumatera Utara;Jln Medan Area Selatan No. 282B / 37 Medan;(061) 73360699;pewartamedia@gmail.com;https://pewarta.co;Terverifikasi Administratif dan Faktual;2021-06-30
14;Telisik.id;Siber;Rudy Iskandar Ichlas;Rudy Iskandar Ichlas;Media Telisik Indonesia;Sulawesi Tenggara;Kantor Pusat Telisik.ID : Jl Taridala No 29 B, Kendari - SultraTlp 081341740030, 082296888248E-Mail: mediatelisikindonesia@gmail.com;082296888248;mediatelisikindonesia@gmail.com;https://telisik.id/;Terverifikasi Administratif dan Faktual;2021-06-30
15;indomerdeka.com;Siber;Gusti M Ali;Gusti M Ali;Kita Media Berdikari;Sumatera Selatan;Jalan Angkatan 45 (Kembar Ayu) No 1078 RT 05 Pw 06 Kel. Lorok Pakjo Kec .Ilir Barat 1 Palembang  Mobile: 081373753973;081373753973;indomerdekanews@gmail.com;https://indomerdeka.com/;Terverifikasi Administratif dan Faktual;2021-06-30
16;tribunkaltim.co;Siber;Sumarsono;Sumarsono;Mahakam Media Grafika;Kalimantan Timur;Jl. Indrakila/Strat III No. 1, Kampung Timur, Gunung Samarinda Baru;0542-735015;redaksi.tribunkaltim@gmail.com;TribunKaltim.co;Terverifikasi Administratif dan Faktual;2021-06-30
17;Poskita.id;Siber;Firwanto M Isa;Firwanto M Isa;Rayyan Media Mandiri;Sumatera Selatan;Jalan Wahitam Lr. Family I No 30 Rt 007 Rw 006 Kel. Siring Agung Kecamatan Ilir Barat I;083876860734 / 081373753973;poskita.id@gmail.com;https://www.poskita.id/;Terverifikasi Administratif dan Faktual;2021-06-30
18;Transformasinews.com;Siber;Amrizal Aroni;Amrizal Aroni;Transformasi Media Utama;Sumatera Selatan;Jalan Angkatan 45 (Kembar Ayu) No 1078 RT 05 Pw 06 Kel. Lorok Pakjo Kec .Ilir Barat 1 Palembang;082177559619;redaksi.transformasi2020@gmail.com;http://www.transformasinews.com/;Terverifikasi Administratif dan Faktual;2021-06-30
19;infosumsel.id;Siber;RM Solehin;RM Solehin;Global Satu Multimedia;Sumatera Selatan;Jl. Puncak Sekuning, Lorong Sahabat, Kelurahan Lorok Pakjo, Kecamatan Ilir Barar (IB) I;0711 - 7442344;infosumsel.redaksi@gmail.com;https://www.infosumsel.id/;Terverifikasi Administratif dan Faktual;2021-06-30
20;suarasumsel.net;Siber;Ujang Idrus;Ujang Idrus;Suara Sumsel Media;Sumatera Selatan;Perumahan bukit sejahtera blok AK 11 Kelurahan Bukit lama Kecamatan Ilir Barat 1 Palembang;085384574099;mediaonlinenews@yahoo.com;www.suarasumsel.net;Terverifikasi Administratif dan Faktual;2021-06-30
21;koranrakyat.co.id;Siber;Helmy Marsindang;Helmy Marsindang;Intermedia Sindang Perkasa;Sumatera Selatan;Jl. Brigjend HM. Dhanie Effendi Blok 47 No.05 Kel.26 Ilir Bukit Kecil Palembang;082183012000;koranrakyat.redaksi@gmail.com;koranrakyat.co.id;Terverifikasi Administratif dan Faktual;2021-06-30
22;extranews.id;Siber;Firdaus Komar;Firdaus Komar;Extra Media Sriiwijaya;Sumatera Selatan;Komplek Citra Grand City Ruko Copa Cabana Blok D 46 Nomor 8;0711-412262;extranews.media@gmail.com;www.http.//extranews.id;Terverifikasi Administratif dan Faktual;2021-06-30
23;Paltv;Televisi;Nurseri Marwah;Nurseri Marwah;Sumek Tivi Palembang;Sumatera Selatan;JL. Angkatan 45 Rukan PS Mall Blok R6/R7 Kel. Lorok Pakjo Kec. Ilir Barat 1 Palembang;0711 380000;palembangpaltv@gmail.com;www.paltv.co.id;Terverifikasi Administratif;2021-06-30
24;masakini.co;Siber;Maimun Saleh;Maimun Saleh;Gelora Masa Kini;Aceh;Jl. Iskandar Muda, No. 6, Desa Lambung, Kec. Meuraxa, Kota Banda Aceh;08116820040;red.masakini@gmail.com;https://masakini.co;Terverifikasi Administratif;2021-06-28
25;halosumsel.co.id;Siber;Ujang Idrus;Ujang Idrus;Aras Media Press;Sumatera Selatan;Jl. Soekarno Hatta RT 50 No. 200 Karya Baru Palembang;082269821928 dan 082281012250;redaksihalosumsel@gmail.com;Halosumsel. Co. Id;Terverifikasi Administratif;2021-06-28
26;rmolsumut.id;Siber;Tuahta Arief Gunawan;Tuahta Arief Gunawan;Swarga Indo Media Solusi;Sumatera Utara;Jl. Tempua. Taman Tempua Residence;082370001123;swargaindomediasolusi@gmail.com;rmolsumut.id;Terverifikasi Administratif;2021-06-28
27;satukanal.com;Siber;Danu Sukendro;Danu Sukendro;Satukanal Media Dwipa;Jawa Timur;Jl. cengkeh no.1, tulusrejo, kec. lowokwaru, kota malang, jawa timur 65141;+623414382823;satukanalcom@gmail.com;satukanal.com;Terverifikasi Administratif;2021-06-28
28;newsnusantara.com;Siber;Robithoh Johan Palupi;Robithoh Johan Palupi;Berau nusantara abadi;Kalimantan Timur;Jalan H.isa 1 NO Tanjung Redeb,Kabupaten Berau;081346340809;nusantaraberau313@gmail.com;https://newsnusantara.com/;Terverifikasi Administratif;2021-06-28
29;jalurinfo.com;Siber;Muhammad Idris Hamid;Muhammad Idris Hamid;Jalur Info Nusantara;Sulawesi Selatan;Gedung Graha Pena Mini Ruko Kav. 9-10 , Jl Urip Sumohardjo No 20 Makassar;081244916648;jinfo@jalurinfo.com;www.jalurinfo.com;Terverifikasi Administratif;2021-06-28
30;kaltimkece.id;Siber;Felanans Gevrido Yosef Mustari;Felanans Gevrido Yosef Mustari;Kaltim keren cerdas;Kalimantan Timur;Jalan wahid hasyim 2 no. 16;082154391877;kaltimkece@gmail.com;kaltimkece.id;Terverifikasi Administratif;2021-06-28
31;Koran Seruya;Cetak;chaerul baderu;Chaerul Baderu;Wisnu Aditya Intermedia Palopo;Sulawesi Selatan;Jalan Kelapa No.73;082194675648;verifikasiseruya@gmail.com;www.koranseruya.com;Terverifikasi Administratif;2021-06-28
32;lintascelebes.com;Siber;Moh. Supriyadi Syarifuddin;Moh. Supriyadi Syarifuddin;Media Lintas Celebes;Sulawesi Selatan;Jl. Ambo Ewang Empagae Desa Assorajang Kec. Tanasitolo;085241403347;medialintascelebes@gmail.com;www.lintascelebes.com;Terverifikasi Administratif;2021-06-28
