No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Simeulue;1101;Kab. Simeulue;11.09
2;Aceh Singkil;1102;Kab. Aceh Singkil;11.10
3;Aceh Selatan;1103;Kab. Aceh Selatan;11.01
4;Aceh Tenggara;1104;Kab. Aceh Tenggara;11.02
5;Aceh Timur;1105;Kab. Aceh Timur;11.03
6;Aceh Tengah;1106;Kab. Aceh Tengah;11.04
7;Aceh Barat;1107;Kab. Aceh Barat;11.05
8;Aceh Besar;1108;Kab. Aceh Besar;11.06
9;Pidie;1109;Kab. Pidie;11.07
10;Bireuen;1110;Kab. Bireuen;11.11
11;Aceh Utara;1111;Kab. Aceh Utara;11.08
12;Aceh Barat Daya;1112;Kab. Aceh Barat Daya;11.12
13;Gayo Lues;1113;Kab. Gayo Lues;11.13
14;Aceh Tamiang;1114;Kab. Aceh Tamiang;11.16
15;Nagan Raya;1115;Kab. Nagan Raya;11.15
16;Aceh Jaya;1116;Kab. Aceh Jaya;11.14
17;Bener Meriah;1117;Kab. Bener Meriah;11.17
18;Pidie Jaya;1118;Kab. Pidie Jaya;11.18
19;Banda Aceh;1171;Kota Banda Aceh;11.71
20;Sabang;1172;Kota Sabang;11.72
21;Langsa;1173;Kota Langsa;11.74
22;Lhokseumawe;1174;Kota Lhokseumawe;11.73
23;Subulussalam;1175;Kota Subulussalam;11.75
