"Bab";"Topik";"Pasal";"Deskripsi"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 104";"Makar dengan maksud untuk membunuh, atau merampas kemerdekaan, atau meniadakan 
kemampuan Presiden atau Wakil Presiden memerintah, diancam dengan pidana mati 
atau pidana penjara seumur hidup atau pidana penjara sementara paling lama dua 
puluh tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 105";"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal VIII, 
butir 13. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 106";"Makar dengan maksud supaya seluruh atau sebagian dari wilayah negara, diancam 
dengan pidana penjara seumur hidup atau pidana penjara sementara paling lama dua 
puluh tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 107";"(1) Makar dengan maksud untuk menggulingkan pemerintah, diancam dengan pidana 
penjara paling lama lima belas tahun.
(2) Para pemimpin dan pengatur makar tersebbut dalam ayat 1, diancam dengan 
pidana penjara seumur hidup atau pidana penjara sementara paling lama dua puluh 
tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 108";"(1) Barang siapa bersalah karena pemberontakan, diancam dengan pidana penjara 
paling lama lima belas tahun:
1. orang yang melawan pemerintah Indonesia dengan senjata;
2. orang yang dengan maksud melawan Pemerintah Indonesia menyerbu bersama-sama 
atau menggabungkan diri pada gerombolan yang melawan Pemerintah dengan senjata.
(2) Para pemimpin dan para pengatur pemberontakan diancam dengan penjara seumur 
hidup atau pidana penjara sementara paling lama dua puluh tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 109";"Pasal iani ditiadakan berdasarkan S. 1930 No. 31. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 110";"(1) Permufakatan jahat untuk melakukan kejahatan menurut pasal 104, 106, 107, 
dan 108 diancam berdasarkan ancaman pidana dalam pasal-pasal tersebut.
(2) Pidana yang sama diterapkan terhadap orang-orang yang dengan maksud 
berdasarkan pasal 104, 106, dan 108, mempersiapkan atau memperlancar kejahatan:
1. berusaha menggerakkan orang lain untuk melakukan, menyuruh melakukan atau 
turut serta melakukan agar memberi bantuan pada waktu melakukan atau memberi 
kesempatan, sarana atau keterangan untuk melakukan kejahatan;
2. berusaha memperoleh kesempatan, sarana atau keterangan untuk melakukan 
kejahatan bagi diri sendiri atua orang lain;
3. memiliki persediaan barang-barang yang diketahuinya berguna untuk melakukan 
kejahatan;
4. mempersiapkan atau memiliki rencana untuk melaksanakan kejahatan yang 
bertujuan untuk memberitahukan kepada orang lain;
5. berusaha mencegah, merintangi atau menggagalkan tindakan yang diadakan 
pemerintah untuk mencegah atau menindas pelaksanaan kejahatan. 
(3). Barang-barang sebagaimana dimaksud dalam butir 3 ayat sebelumnya, dapat 
dirampas. 
(4) Tidak dipidana barang siapa yang ternyata bermaksud hanya mempersiapkan atau 
memperlancar perubahan ketatanegaraan dalam artian umum. 
(5) Jika dalam salah satu hal seperti yang dimaksud dalam ayat 1 dan 2 pasal 
ini, kejahatan sungguh terjadi, pidananya dapat dilipatkan dua kali. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 111";"(1) Barang siapa mengadakan hubungan dengan negara asing dengan maksud 
menggerakkannya untuk melakukan perbuatan permusuhan atau perang terhadap 
negara, memperkuat niat mereka, menjanjikan bantuan atau membantu mempersiapkan 
mereka untuk melakukan perbuatann permufakatan atua perang terhadap negara, 
diancam dengan pidana penjara paling lama lima belas tahun. 
(2) Jika perbuatan permusuhan dilakukan atau terjadi perang, diancam dengan 
pidana mati atua pidana penjara seumur hidup atau pidana penjara sementara 
paling lama dua puluh tahun. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 111 bis";"(1) Dengan pidana penjara paling lama enam tahun diancam:
1. barang siapa mengadakan hubungan dengan orang atau badan yang berkedudukan di 
luar Indonesia, dengan maksud untuk menggerakan orang atau badan itu supaya 
membantu mempersiapkan, memperlancar atau menggerakkan untuk menggulingkan 
pemerintah, untuk memperkuat niat orang atau badan itu atua menjanjikan atau 
memberi bantuan kepada orang atau badan itu atau menyiapkan, memperlancar atau 
menggerakkan penggulingan pemerintah;
2. barang siapa memaksudkan suatu benda yang dapat digunakan untuk memberi 
bantuan material dalam mempersiapkan, memperlancar atau menggerakkan 
penggulingan pemerintah, sedangkan diketahuinya atau ada alasan kuat untuk 
memnduga bahwa benda tersebut akan dipergunakan untuk perbuatan tersebut;
3. orang yang mempunyai atau mengadakan perjanjian mengenai suatu benda yang 
dapat dipergunakan untuk memberikan bantuan material dalam mempersiapkan, 
memperlancar atau menggerakkan penggulingan pemerintah, sedangkan diketahuinya 
atau ada alasan baginya untuk menduga bahwa benda itu akan dipergunakan untuk 
perbuatan tersebut atau benda itu atau barang lainsebagai penggantinya, 
dimaksudkan dengan tujuan tersebut atau untuk untuk diperuntukkan bagi tujuan 
itu oleh orang atau benda yang berkedudukan di luar Indonesia. 
(2) Benda-benda yang dengan mana atau yang ada hubungan dengan ayat 1 ke-2 dan 
ke-3 yang dipakai untuk melakukan kejahatan, dapat dirampas. 
"
"Bab I";"Kejahatan Terhadap Keamanan Negara";"Pasal 112";"Barang siapa dengan sengaja mengumumkan surat-surat, berita-berita atau 
keterangan- keterangan yang diketahuinya bahwa harus dirahasiakan untuk 
kepentingan negara, atau dengan sengaja memberitahukan atau memberikannya kepada 
negara asing, diancam dengan pidana penjara paling lama tujuh tahun. 
"
